File,Created,Accessed,Modified,Target Size (bytes),Target is on:,Volume Type,Volume Serial,Volume Label,Target File Path,
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\JumpListParserTest.lnk,2018-03-04 11:21:30.299791,2018-03-04 11:21:30.299791,2018-03-04 11:21:30.383266,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\JumpListParserTest
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\JumpListParserTest.sln.lnk,2018-03-04 11:21:30.302790,2018-03-04 11:21:30.302790,2018-03-04 11:21:30.302790,989,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\JumpListParserTest\JumpListParserTest.sln
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\known_guids.lnk,,,,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\source\repos\PythonApplication3\known_guids.py
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\LegibleAccounting.lnk,2018-02-14 19:19:53.507494,2018-02-14 19:19:53.507494,2018-02-14 19:41:24.166052,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\LegibleAccounting
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\LinkFiles.lnk,2018-03-04 11:35:39.038042,2018-03-04 11:35:39.038042,2018-03-04 11:36:07.214169,91,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\JumpListParserTest\JumpListParserTest\26e07dcb0912b99a\LinkFiles.csv
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\lnk-parse-1.0.lnk,2016-01-09 01:55:10,2016-01-09 01:55:10,2018-02-09 17:45:56.004572,16288,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\lnk-parse-1.0.pl
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\LNKData.lnk,2018-03-10 12:33:35.234543,2018-03-10 12:33:35.234543,2018-03-10 13:19:39.536604,31642,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\LNK_Inspector\PythonApplication2\LNKData.csv
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\LNK_File_Parser.sln.lnk,2018-03-10 12:33:35.231443,2018-03-10 12:33:35.231443,2018-03-10 12:33:35.231443,979,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\LNK_Inspector\LNK_File_Parser.sln
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\LNK_Inspector.lnk,2018-03-10 12:33:35.229042,2018-03-10 12:33:35.229042,2018-03-10 12:33:35.232536,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\LNK_Inspector
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\lnk_the_windows_shortcut_file_format.lnk,,,,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\School\Spring 2018\lnk_the_windows_shortcut_file_format.pdf
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\MFT_Grabber.lnk,2018-01-28 08:20:54.759851,2018-01-28 08:20:54.759851,2018-01-28 21:10:53.213533,5619,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\source\repos\PythonApplication1\PythonApplication1\MFT_Grabber.py
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\MFT_Grabber_Parser.sln.lnk,2018-01-28 08:20:53.051151,2018-01-28 08:20:53.051151,2018-01-28 08:21:00.785559,989,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\source\repos\PythonApplication1\MFT_Grabber_Parser.sln
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Microsoft Office & Visio Keys.lnk,2018-01-27 18:26:47.010000,2018-01-27 18:26:47.010000,2018-01-27 17:34:58,118,Local volume,Removable (Floppy-Zip-USB-etc.),0c0b0346,,E:\Backup\Downloads\Microsoft Office & Visio Keys.txt
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Misc.lnk,2018-01-30 18:39:04.726721,2018-01-30 18:39:04.726721,2018-01-30 18:39:31.750813,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\School\Misc
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Mortgage (2).lnk,2018-03-01 22:37:09.334435,2018-03-01 22:37:09.334435,2018-03-03 10:41:40.982857,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\Mortgage
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Mortgage.lnk,2018-03-01 22:37:09.334435,2018-03-01 22:37:09.334435,2018-03-01 22:58:10.836702,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\Mortgage
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Mortgage_Application_Documents.lnk,2018-03-01 22:37:28.206472,2018-03-01 22:37:28.206472,2018-03-01 22:37:28.657497,9907104,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\Mortgage\Mortgage_Application_Documents.pdf
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\myScript.js.lnk,2018-02-14 16:54:07.891569,2018-02-14 16:54:07.891569,2018-02-14 16:54:07.891569,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\myScript.js.txt
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\myStyle.lnk,2018-02-14 16:16:51.115507,2018-02-14 16:16:51.115507,2018-02-14 16:19:27.548475,57,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\myStyle.css
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\New Microsoft Excel Worksheet.lnk,2018-02-21 16:49:49.073313,2018-02-21 16:49:49.073313,2018-02-21 16:49:49.246206,6169,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\New Microsoft Excel Worksheet.xlsx
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\New Text Document.lnk,2018-02-21 16:49:58.717493,2018-02-21 16:49:58.717493,2018-02-21 16:49:58.717493,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\New Text Document.txt
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Obtaining Your 1098-T.lnk,2018-02-01 06:03:37.771887,2018-02-01 06:03:37.771887,2018-02-01 06:03:38.236387,13770,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Downloads\Obtaining Your 1098-T.docx
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\olefile-master.lnk,2018-03-04 11:32:07.601185,2018-03-04 11:32:07.601185,2018-03-04 11:32:08.228090,113350,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Downloads\olefile-master.zip
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\payment history for David and Sarah Klein.lnk,2018-03-08 19:53:22.036976,2018-03-08 19:53:22.036976,2018-03-08 19:53:22.330532,90381,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Downloads\payment history for David and Sarah Klein.pdf
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Pictures.lnk,2015-12-19 03:06:57.910000,2015-12-19 03:06:57.910000,2015-12-19 03:06:58,0,Local volume,Removable (Floppy-Zip-USB-etc.),0c0b0346,,E:\Backup\Pictures
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Pre-Approval_Documents_NEED_Physical_Signature (2).lnk,,,,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\Mortgage\Pre-Approval_Documents_NEED_Physical_Signature.pdf
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\Pre-Approval_Documents_NEED_Physical_Signature.lnk,,,,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\Mortgage\Pre-Approval_Documents_NEED_Physical_Signature.asp
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\PrefetchTest1.lnk,2018-01-31 19:28:27.135534,2018-01-31 19:28:27.135534,2018-01-31 19:28:27.152748,4096,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\PrefetchTest1
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\PrefetchTest1.sln.lnk,2018-01-31 19:28:27.145901,2018-01-31 19:28:27.145901,2018-01-31 19:28:27.151461,974,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Documents\GitHub\Capstone_Project\PrefetchTest1\PrefetchTest1.sln
C:\Users\dmk16\AppData\Roaming\Microsoft\Windows\Recent\pyJumpListTest.lnk,,,,0,Local volume,Fixed (Hard Disk),1cbd9382,,C:\Users\dmk16\Desktop\pyJumpListTest.py
